serial,id,bang,2015,20151,20152,20153,20154,20155,20156,20157,20158,20159,201510,201511,201512,2016,20161,20162,20163,20164,20165,20166,20167,20168,20169,201610,201611,201612,2017,20171,20172,20173,20174,20175,20176,20177,20178,20179,201710,201711,201712,2018,20181,20182,20183,20184,20185,20186,20187,20188,20189,201810,201811,201812,2019,20191,20192,20193,20194,20195,20196,20197,20198,20199,201910,201911,201912
17,2,চাঁপাইনবাবগঞ্জ,7,0,1,0,0,1,0,0,0,0,1,3,1,4,0,0,0,0,1,0,0,0,3,0,0,0,33,0,0,0,0,22,3,7,0,0,0,1,0,46,0,0,0,0,0,0,0,6,5,1,34,0,150,1,0,0,0,0,0,5,83,47,12,0,0
18,2,নওগাঁ,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,39,0,0,0,0,0,0,0,2,1,0,36,0,137,1,1,0,0,0,1,4,112,11,5,0,1
19,3,যশোর,7,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,3,0,1,6,3,0,45,1,0,0,0,0,0,0,1,5,4,34,0,623,2,4,0,0,0,0,6,278,267,49,5,2
20,3,সাতক্ষীরা,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,27,1,0,0,0,0,0,0,3,17,4,2,0,711,1,4,0,0,0,0,3,428,224,22,13,0
21,3,মেহেরপুর,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,144,0,0,0,0,0,0,3,81,50,8,1,0
22,3,নড়াইল,23,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,26,5,1,0,246,2,0,0,0,0,0,5,171,52,6,7,0
23,3,চুয়াডাঙ্গা,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,133,0,0,0,0,0,0,4,88,34,3,0,0
24,3,কুষ্টিয়া,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,6,1,5,3,0,624,1,0,1,0,0,2,7,248,287,60,1,0
25,3,মাগুরা,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,337,0,0,1,0,0,0,2,212,73,45,0,0
26,3,খুলনা,15,0,0,0,0,0,0,0,0,0,11,3,1,5,0,0,3,0,0,0,0,0,2,0,0,0,12,0,0,0,0,2,1,3,1,2,0,3,0,57,1,0,0,0,0,0,0,7,9,0,37,3,1594,1,1,3,2,0,0,25,884,468,107,47,8
