ser,id,bang,2019,20191,20192,20193,20194,20195,20196,20197,20198,20199,201910,201911,201912,2020,20201,20202,20203
0,1,চট্টগ্রাম,2169,3,6,3,2,0,5,59,1317,562,145,41,25,11,2,5,4
1,2,রাজশাহী,1534,3,17,3,1,0,6,55,855,491,75,17,11,17,6,7,4
2,3,খুলনা,1594,1,1,3,2,0,0,39,917,468,107,47,8,3,2,0,1
3,4,বরিশাল,1904,2,5,0,1,0,1,51,1161,554,91,24,14,2,1,0,1
4,5,সিলেট,1432,7,3,3,3,0,2,52,835,405,65,22,35,6,3,2,1
5,6,ঢাকা,10990,26,41,32,20,26,223,340,7648,1720,443,281,189,164,74,52,38
6,7,রংপুর,1109,1,0,2,2,0,1,27,765,237,55,11,8,4,3,0,1
7,8,ময়মনসিংহ,1455,1,0,0,0,0,0,32,977,360,62,13,10,5,4,0,1
