serial,id,bang,2015,20151,20152,20153,20154,20155,20156,20157,20158,20159,201510,201511,201512,2016,20161,20162,20163,20164,20165,20166,20167,20168,20169,201610,201611,201612,2017,20171,20172,20173,20174,20175,20176,20177,20178,20179,201710,201711,201712,2018,20181,20182,20183,20184,20185,20186,20187,20188,20189,201810,201811,201812,2019,20191,20192,20193,20194,20195,20196,20197,20198,20199,201910,201911,201912
0,1,চট্টগ্রাম,8,0,0,0,0,0,0,0,1,1,0,3,1,18,0,2,7,1,0,0,1,1,5,1,0,0,60,0,0,0,0,7,1,28,7,11,2,3,1,102,0,0,0,0,0,1,1,15,9,19,51,2,2169,3,6,3,2,0,5,43,1264,562,143,41,23
1,2,রাজশাহী,8,0,0,0,0,0,0,0,1,0,3,3,1,3,0,0,0,0,0,0,1,0,1,0,0,1,43,0,0,0,0,12,6,16,0,0,1,8,0,70,0,0,0,0,0,0,0,16,6,4,40,1,1534,3,17,3,1,0,6,40,837,491,75,17,10
2,3,খুলনা,15,0,0,0,0,0,0,0,0,0,11,3,1,5,0,0,3,0,0,0,0,0,2,0,0,0,12,0,0,0,0,2,1,3,1,2,0,3,0,57,1,0,0,0,0,0,0,7,9,0,37,3,1594,1,1,3,2,0,0,25,884,468,107,47,8
3,4,বরিশাল,21,0,1,0,0,1,0,0,0,0,6,11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,3,0,0,0,0,0,58,0,0,0,0,0,0,0,11,3,4,38,2,1904,2,5,0,1,0,1,33,1133,554,91,24,12
4,5,সিলেট,9,0,0,0,0,0,0,1,0,1,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,6,0,25,1,0,1,5,0,71,0,0,2,1,0,0,0,19,6,18,11,9,1432,7,3,3,3,0,2,33,820,405,65,22,31
5,6,ঢাকা,107,1,0,2,2,5,4,4,7,22,35,19,3,43,2,5,6,2,1,2,7,7,5,2,2,2,441,0,0,4,4,128,45,156,31,35,13,19,2,495,1,0,2,3,9,4,22,113,131,113,58,32,10990,21,41,32,20,26,223,284,7532,1720,441,281,178
6,7,রংপুর,11,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,39,0,0,0,0,4,0,2,1,0,1,31,0,42,0,0,0,0,0,0,0,2,0,1,37,2,1109,1,0,2,2,0,1,13,749,237,55,11,8
7,8,ময়মনসিংহ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,2,1,1,0,0,52,0,0,0,0,0,0,0,1,3,1,40,3,1455,1,0,0,0,0,0,14,961,360,62,13,10
