serial,id,bang,2015,20151,20152,20153,20154,20155,20156,20157,20158,20159,201510,201511,201512,2016,20161,20162,20163,20164,20165,20166,20167,20168,20169,201610,201611,201612,2017,20171,20172,20173,20174,20175,20176,20177,20178,20179,201710,201711,201712,2018,20181,20182,20183,20184,20185,20186,20187,20188,20189,201810,201811,201812,2019,20191,20192,20193,20194,20195,20196,20197,20198,20199,201910,201911,201912
0,0,Bangladesh,278,1,4,2,3,9,5,7,15,38,89,78,22,89,2,12,16,3,2,2,10,9,21,4,4,4,958,0,0,4,4,214,67,354,66,87,38,113,3,2320,5,0,4,5,9,6,27,316,355,307,1152,76,36524,77,115,67,63,29,262,850,24224,7478,1598,640,393
