xerial,serial,id,bang,2019,20191,20192,20193,20194,20195,20196,20197,20198,20199,201910,201911,201912,2020,20201,20202,20203
49,50,ঢাকা,মাদারীপুর,452,0,0,0,1,0,0,8,326,108,6,3,0,0,0,0,0
50,51,ঢাকা,গোপালগঞ্জ,173,0,1,1,0,0,0,3,144,10,5,7,2,5,3,1,1
51,52,ঢাকা,ফরিদপুর,971,1,0,0,0,0,1,21,720,171,43,11,3,1,1,0,0
52,53,রংপুর,পঞ্চগড়,68,1,0,0,0,0,0,4,58,5,0,0,0,0,0,0,0
53,54,রংপুর,দিনাজপুর,419,1,1,1,1,0,1,8,363,23,3,14,3,0,0,0,0
54,55,রংপুর,লালমনিরহাট,136,1,0,0,0,0,0,6,114,12,3,0,0,0,0,0,0
55,56,রংপুর,নীলফামারী,81,1,0,0,0,0,0,2,76,1,1,0,0,0,0,0,0
56,57,রংপুর,গাইবান্ধা,173,0,1,0,0,0,0,9,148,12,2,0,1,1,0,1,0
57,58,রংপুর,ঠাকুরগাঁও,227,1,0,0,1,0,0,12,191,16,6,0,0,0,0,0,0
58,59,রংপুর,রংপুর,1109,1,0,2,2,0,1,27,765,237,55,11,8,4,3,0,1
59,60,রংপুর,কুড়িগ্রাম,157,1,3,0,0,0,0,14,116,20,3,0,0,3,2,1,0
60,61,ময়মনসিংহ,শেরপুর,179,0,0,0,0,0,0,10,138,25,2,3,1,1,1,0,0
61,62,ময়মনসিংহ,ময়মনসিংহ,1455,1,0,0,0,0,0,32,977,360,62,13,10,5,4,0,1
62,63,ময়মনসিংহ,জামালপুর,214,1,0,0,1,0,0,13,169,26,1,2,1,3,2,1,0
63,64,ময়মনসিংহ,নেত্রকোণা,66,0,0,0,0,0,0,2,61,3,0,0,0,0,0,0,0
